t_rel_s,lat_deg,lon_deg,dist_cum_m
32,44.1942874572432,28.64759417184096,400.6
37,44.19397003250003,28.646779484284195,472.6
42,44.193644039906346,28.645980723431755,544.5
47,44.19332571886141,28.645189691865458,615.5
52,44.19304795948637,28.644447875833976,687.0
57,44.19277196571725,28.64369425127829,758.2
62,44.19242619570281,28.64289667988984,828.5
67,44.19220698362625,28.642293715273905,885.4
72,44.19212750399986,28.64212488736497,899.3
77,44.192141251460605,28.64211913683708,899.8
82,44.19214043016608,28.642100417556875,900.4
87,44.19214457361458,28.64210117215089,900.6
92,44.19212186634143,28.6420977950754,900.8
97,44.19212258136914,28.642103422805928,901.1
102,44.192117544337485,28.64212223663296,901.1
107,44.19211995366558,28.642100438324537,901.4
112,44.19206120401291,28.64193647769323,916.5
117,44.19185749287628,28.641390533391853,963.7
122,44.19159795863637,28.64069117896092,1031.1
127,44.19122608442166,28.640004572782995,1099.8
132,44.19084901506827,28.639242042871658,1168.5
137,44.19049127275474,28.63854349018314,1237.9
142,44.19012522279186,28.63788481578649,1307.3
147,44.18978516972549,28.637185288735544,1377.7
152,44.18939538050074,28.63645906871933,1448.7
157,44.18900298278987,28.63572504454735,1519.3
162,44.188643891052,28.63497174197462,1590.1
167,44.18825026543939,28.63424854949227,1661.4
172,44.187879355888114,28.633541519766933,1732.4
177,44.187513606242106,28.632837796095085,1803.6
182,44.18731876042919,28.632447929700334,1844.4
187,44.187257289183606,28.632352152313672,1851.0
192,44.187258032476095,28.632326931737136,1851.8
197,44.18723646112087,28.6323447391425,1852.0
202,44.18725642881822,28.632344846498764,1852.0
207,44.18726142921179,28.63231952063325,1852.3
212,44.18721111592178,28.632221942029275,1861.1
217,44.18699808786646,28.631813426676924,1902.1
222,44.18662290500105,28.63115830430227,1967.1
227,44.18629239140644,28.63049626030172,2035.1
232,44.185938362765725,28.6298040602354,2103.1
237,44.18556779101164,28.62909392532464,2170.6
242,44.18522200349168,28.62844995543592,2238.1
247,44.18489443180936,28.627747863767908,2305.6
252,44.18458002792441,28.626976933809107,2373.8
257,44.18428831983306,28.626204473198605,2441.8
262,44.18400030394406,28.62549692203347,2510.0
267,44.183687049241634,28.6247078984264,2578.9
272,44.183388270064974,28.623938582355937,2648.6
277,44.18308348579031,28.623203947886065,2719.2
282,44.18274775683733,28.62237146337119,2790.2
287,44.18243276256048,28.621595931319263,2859.8
292,44.18231062444667,28.62123890598053,2895.8
297,44.1822746622765,28.62117594254497,2899.2
302,44.18225525492081,28.621184983447883,2899.2
307,44.18227187402213,28.62120031704716,2899.2
312,44.182265594784525,28.62119675752487,2899.2
317,44.182262528575656,28.621174999938425,2899.2
322,44.18226019360797,28.621190358345736,2899.2
327,44.18229472182119,28.62120089466062,2899.5
332,44.18224848120578,28.62115701351245,2899.5
337,44.18226784191177,28.62116246388285,2900.0
342,44.182179791199935,28.620921720608965,2921.1
347,44.18195174920234,28.620368965299523,2974.5
352,44.18164113312178,28.61962090782748,3041.9
357,44.18136824507043,28.61887353463922,3109.4
362,44.181075792826896,28.61817054048572,3177.0
367,44.18076636324134,28.617434304396298,3244.6
372,44.18045294386957,28.61668755906481,3315.0
377,44.1801532475361,28.615879633370536,3387.9
382,44.17982991989284,28.615038239402843,3463.9
387,44.17945186050535,28.61412639079406,3542.2
392,44.17925706967274,28.61362895045761,3588.5
397,44.17922826916794,28.61354785236613,3597.3
402,44.17920847442011,28.61350041870569,3597.4
407,44.1792053296588,28.6135272383619,3597.6
412,44.1792196363149,28.613554189095748,3597.6
417,44.1791412869613,28.613350295178,3612.0
422,44.17898561046461,28.6128820415859,3658.9
427,44.17865912235428,28.611936757068467,3737.3
432,44.17832077053949,28.610921694159963,3831.5
437,44.17794563443236,28.609815363412217,3929.0
442,44.17758861426043,28.60860939855052,4028.6
447,44.17721741868263,28.60745774368868,4134.6
452,44.17679305642609,28.606169473042343,4243.1
457,44.1763586193799,28.60490331559333,4355.8
462,44.17595055704785,28.60354502646648,4472.9
467,44.175495358976434,28.602166163300343,4593.7
472,44.17501097042517,28.600734938573048,4717.4
477,44.17456163648093,28.599316129483967,4841.8
482,44.17413421857889,28.59793317316472,4964.1
487,44.17367539718583,28.59647832874044,5086.8
492,44.17339336854899,28.59507344514497,5208.7
497,44.17320172852117,28.59358850405968,5329.8
502,44.17300936767757,28.59206459094192,5450.1
507,44.17282363618163,28.59055663485411,5570.6
512,44.17264829947352,28.5891668345768,5692.4
517,44.17242375686936,28.58754447683795,5816.4
522,44.17225383594756,28.58600683803772,5941.0
527,44.17205833626936,28.584515627885903,6064.8
532,44.171869990959244,28.58293267532446,6188.6
537,44.17167453763293,28.58139387323568,6315.0
542,44.1714679153735,28.57979548599309,6440.6
547,44.17129596641618,28.57837852786614,6565.7
552,44.171103206286055,28.5767407523206,6695.1
557,44.17089716452913,28.575099235915182,6824.2
562,44.17069718998765,28.573527344660967,6954.9
567,44.17046705235419,28.571915301440256,7083.7
572,44.170453986960815,28.57029886123316,7212.0
577,44.17039254483418,28.568647368709456,7340.8
582,44.17033729758956,28.567190661394093,7467.7
587,44.17029537263106,28.56555673983568,7595.2
592,44.1702597464088,28.56393801450896,7721.3
597,44.17018334570127,28.562316360002715,7845.2
602,44.17013916607548,28.56093479857213,7969.0
607,44.17009329988133,28.5592768730606,8091.0
612,44.17004718382015,28.55779990030285,8212.1
617,44.17002799135077,28.55626136178732,8333.5
622,44.16995703779588,28.55469963838728,8456.3
627,44.16991193515232,28.55320016659444,8577.7
632,44.169883947295496,28.55173376144732,8697.7
637,44.16980928691518,28.55026004527505,8818.6
642,44.16978716840987,28.54872133855529,8941.3
