GPS Time,Device Time,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Air Fuel Ratio(Measured)(:1),Ambient air temp(°C),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine RPM(rpm),Fuel flow rate/minute(gal/min),GPS Altitude(m),GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°)
Thu Apr 02 11:38:40 GMT+03:00 2026,02-apr.-2026 11:38:40.875,0.06228138878941536,1.7999999523162842,67.6,218.5399932861328,2.91,2.93,10.57,0.18,12.94,0.3,-,11,0,35.1,75,-,2.35,813.25,0,67.6,0.22,-,28,4.64,2.49,-,-,-,-,-,27,0.22,0,8.24,5.5
Thu Apr 02 11:38:41 GMT+03:00 2026,02-apr.-2026 11:38:41.374,0.06073722243309021,1.899999976158142,67.5,202.2100067138672,-0.75,2.25,9.41,0.01,12.94,0.01,-,11,0,35.1,75,-,2.35,813.25,0,67.5,0.22,-,28,4.64,2.49,-,-,-,-,-,27,0.22,0,7.84,3.5
Thu Apr 02 11:38:41 GMT+03:00 2026,02-apr.-2026 11:38:41.875,0.06073722243309021,1.899999976158142,67.5,202.2100067138672,-0.71,2.21,9.34,0,12.94,-0.01,-,11,0,35.1,75,-,2.35,813.25,0,67.5,0.22,-,28,4.64,2.49,-,-,-,-,-,29,0.22,0,7.84,3.5
Thu Apr 02 11:38:42 GMT+03:00 2026,02-apr.-2026 11:38:42.375,0.05867833271622658,1.899999976158142,67.4,208.66000366210938,-0.74,2.24,9.5,0.02,12.94,0,-,11,0,35.1,75,-,2.35,817,0,67.4,0.22,-,28,4.5,2.47,-,-,-,-,-,29,0.21,0,7.84,3.5
Thu Apr 02 11:38:42 GMT+03:00 2026,02-apr.-2026 11:38:42.875,0.05867833271622658,1.899999976158142,67.4,208.66000366210938,-0.72,2.12,9.48,0.01,12.94,-0.01,-,11,0,35.1,75,-,2.35,817,0,67.4,0.21,-,28,4.5,2.47,-,-,-,-,-,29,0.21,0,7.84,3.5
Thu Apr 02 11:38:43 GMT+03:00 2026,02-apr.-2026 11:38:43.376,0.07257582992315292,2.0,67.3,205.47000122070312,-0.64,2.07,9.56,0.02,12.94,0,-,11,0,35.1,75,-,2.35,817,0,67.3,0.21,-,28,4.5,2.47,-,-,-,-,-,29,0.26,0,7.84,5.5
Thu Apr 02 11:38:43 GMT+03:00 2026,02-apr.-2026 11:38:43.876,0.07257582992315292,2.0,67.3,205.47000122070312,-0.72,2.05,9.45,0.01,12.55,0,-,11,0,35.1,75,-,2.35,817,0,67.3,0.21,-,28,4.5,2.47,-,-,-,-,-,31,0.26,0,7.84,5.5
Thu Apr 02 11:38:44 GMT+03:00 2026,02-apr.-2026 11:38:44.378,0.08441444486379623,2.0,67.2,183.08999633789062,-0.78,2.13,9.33,-0,12.55,-0.02,-,11,0,35.1,75,-,2.35,813.25,0,67.2,0.3,-,28,4.5,2.5,-,-,-,-,-,31,0.3,0,7.84,5.5
Thu Apr 02 11:38:44 GMT+03:00 2026,02-apr.-2026 11:38:44.877,0.08441444486379623,2.0,67.2,183.08999633789062,-0.76,2.13,9.45,0.01,12.55,0,-,11,0,35.1,75,-,2.35,813.25,0,67.2,0.3,-,28,4.5,2.5,-,-,-,-,-,31,0.3,0,7.84,5.5
Thu Apr 02 11:38:45 GMT+03:00 2026,02-apr.-2026 11:38:45.377,0.09213528037071228,2.0,67.2,190.05999755859375,-0.66,2.09,9.52,0.02,12.55,0,-,11,0,35.1,75,-,2.35,813.25,0,67.2,0.3,-,28,4.5,2.5,-,-,-,-,-,33,0.33,0,7.84,5.5
Thu Apr 02 11:38:45 GMT+03:00 2026,02-apr.-2026 11:38:45.878,0.09213528037071228,2.0,67.2,190.05999755859375,-0.75,2.09,9.48,0.01,12.55,0,-,11,0,35.1,75,-,2.35,813.25,0,67.2,0.3,-,28,4.5,2.47,-,-,-,-,-,33,0.33,0,7.84,5.5
Thu Apr 02 11:38:46 GMT+03:00 2026,02-apr.-2026 11:38:46.375,0.10757694393396378,2.0,67.2,176.1300048828125,-0.69,2.18,9.45,0.01,12.55,0,-,11,0,35.1,75,-,2.35,812.75,0,67.2,0.33,-,28,4.5,2.47,-,-,-,-,-,33,0.39,0,7.84,5
Thu Apr 02 11:38:46 GMT+03:00 2026,02-apr.-2026 11:38:46.878,0.10757694393396378,2.0,67.2,176.1300048828125,-0.75,2.16,9.59,0.02,12.55,0,-,11,0,35.1,75,-,2.35,812.75,0,67.2,0.33,-,28,4.5,2.47,-,-,-,-,-,33,0.39,0,7.84,5
Thu Apr 02 11:38:47 GMT+03:00 2026,02-apr.-2026 11:38:47.377,0.0,2.0,67.0,162.9499969482422,-0.53,1.75,8.99,-0.05,12.55,-0.01,-,11,0,35.1,75,-,2.35,812.75,0,67,0.33,-,28,4.64,2.47,-,-,-,-,-,34,0,0,7.84,5
Thu Apr 02 11:38:47 GMT+03:00 2026,02-apr.-2026 11:38:47.878,0.0,2.0,67.0,162.9499969482422,-0.6,2.08,9.51,0.01,12.55,0,-,11,0,35.1,75,-,2.35,815.25,0,67,0,-,28,4.64,2.51,-,-,-,-,-,34,0,0,7.84,5
Thu Apr 02 11:38:48 GMT+03:00 2026,02-apr.-2026 11:38:48.379,0.0,2.0,67.0,169.0399932861328,-0.78,2.17,9.39,0,12.55,0,-,11,0,35.1,75,-,2.35,815.25,0,67,0,-,28,4.64,2.51,-,-,-,-,-,34,0,0,7.84,5.5
Thu Apr 02 11:38:48 GMT+03:00 2026,02-apr.-2026 11:38:48.878,0.0,2.0,67.0,169.0399932861328,-0.75,2.14,9.45,0.01,12.55,0,-,11,0,35.1,75,-,2.35,815.25,0,67,0,-,28,4.64,2.51,-,-,-,-,-,36,0,0,7.84,5.5
Thu Apr 02 11:38:49 GMT+03:00 2026,02-apr.-2026 11:38:49.378,0.0,2.0999999046325684,66.9,174.6699981689453,-0.61,2.08,9.52,0.01,12.55,0,-,11,0,35.1,75,-,2.35,812.25,0,66.9,0,-,28,4.64,2.48,-,-,-,-,-,36,0,0,7.84,5.5
Thu Apr 02 11:38:49 GMT+03:00 2026,02-apr.-2026 11:38:49.875,0.0,2.0999999046325684,66.9,174.6699981689453,-0.77,2.11,9.49,0.01,12.55,0,-,11,0,35.1,75,-,2.35,812.25,0,66.9,0,-,28,4.64,2.48,-,-,-,-,-,36,0,0,7.84,5.5
Thu Apr 02 11:38:50 GMT+03:00 2026,02-apr.-2026 11:38:50.377,0.0,2.0999999046325684,66.9,174.6699981689453,-0.59,2.27,9.4,0.01,12.55,0,-,11,0,35.1,75,-,2.35,812.25,0,66.9,0,-,28,4.64,2.48,-,-,-,-,-,36,0,0,7.84,5.5
Thu Apr 02 11:38:50 GMT+03:00 2026,02-apr.-2026 11:38:50.878,0.0,2.0999999046325684,66.9,174.6699981689453,-0.66,2.07,9.53,0.01,12.55,0,-,11,0,35.1,75,-,2.35,812.25,0,66.9,0,-,28,4.5,2.48,-,-,-,-,-,38,0,0,7.84,5.5
Thu Apr 02 11:38:51 GMT+03:00 2026,02-apr.-2026 11:38:51.377,0.0,2.0999999046325684,66.9,174.6699981689453,-0.74,2.13,9.42,0.01,12.55,-0.01,-,11,0,35.1,75,-,2.35,812.25,0,66.9,0,-,28,4.5,2.48,-,-,-,-,-,38,0,0,7.84,5.5
Thu Apr 02 11:38:51 GMT+03:00 2026,02-apr.-2026 11:38:51.878,0.0,2.0999999046325684,66.9,174.6699981689453,-0.74,2.19,9.33,-0,12.55,0,-,11,0,35.1,75,-,2.35,812.25,0,66.9,0,-,28,4.5,2.48,-,-,-,-,-,38,0,0,7.84,5.5
Thu Apr 02 11:38:52 GMT+03:00 2026,02-apr.-2026 11:38:52.378,0.0,2.0999999046325684,66.9,174.6699981689453,-0.78,2.09,9.42,0.01,12.55,-0.01,-,11,0,35.1,75,-,2.35,812.25,0,66.9,0,-,28,4.5,2.48,-,-,-,-,-,38,0,0,7.84,5.5
Thu Apr 02 11:38:52 GMT+03:00 2026,02-apr.-2026 11:38:52.876,0.0,2.0999999046325684,66.9,174.6699981689453,-0.65,2.06,9.49,0.01,12.55,0,-,11,0,35.1,75,-,2.35,812.25,0,66.9,0,-,28,4.5,2.48,-,-,-,-,-,38,0,0,7.84,5.5
Thu Apr 02 11:38:53 GMT+03:00 2026,02-apr.-2026 11:38:53.377,0.0,2.0999999046325684,66.9,174.6699981689453,-0.69,2.1,9.44,0.01,12.55,0,-,11,0,35.1,75,-,2.35,812.25,0,66.9,0,-,28,4.5,2.48,-,-,-,-,-,38,0,0,7.84,5.5
Thu Apr 02 11:38:53 GMT+03:00 2026,02-apr.-2026 11:38:53.877,0.0,2.0999999046325684,66.9,174.6699981689453,-0.71,2.1,9.56,0.02,12.55,-0.01,-,11,0,35.1,75,-,2.35,812.25,0,66.9,0,-,28,4.5,2.48,-,-,-,-,-,38,0,0,7.84,5.5
