ruta,fereastra_orara,timestamp_local,segment,t_rel_s,v_kmh,a_ms2,dist_cum_m,rpm,maf_g_s,sarcina_motor_pct,CO2_g_s_benzina,CO2_g_s_diesel,stationare,clasa_RDE,strada,tip_drum_OSM,dist_map_match_m
RUTA_A,11-13,2026-04-02 11:50:16,11:47,139,0.0,0.0,132.9,790.0,2.39,2.4,0.5155,0.5209,1,urban,Strada Țepeș Vodă,residential,6.5
RUTA_A,11-13,2026-04-02 11:50:17,11:47,140,0.0,0.024,132.9,1205.0,5.481,5.8,1.182,1.1945,1,urban,Strada Țepeș Vodă,residential,6.5
RUTA_A,11-13,2026-04-02 11:50:18,11:47,141,0.17,0.103,133.0,1479.0,7.406,8.2,1.5971,1.6141,1,urban,Strada Țepeș Vodă,residential,6.5
RUTA_A,11-13,2026-04-02 11:50:19,11:47,142,0.74,0.196,133.2,1390.0,6.391,8.2,1.3782,1.3928,1,urban,Strada Țepeș Vodă,residential,6.0
RUTA_A,11-13,2026-04-02 11:50:20,11:47,143,1.59,0.271,133.6,1271.0,5.039,6.6,1.0867,1.0982,0,urban,Strada Țepeș Vodă,residential,5.6
RUTA_A,11-13,2026-04-02 11:50:21,11:47,144,2.69,0.136,134.4,1126.0,3.397,3.6,0.7325,0.7402,0,urban,Strada Țepeș Vodă,residential,5.1
RUTA_A,11-13,2026-04-02 11:50:22,11:47,145,2.57,-0.106,135.1,1012.0,2.721,2.6,0.5869,0.5931,0,urban,Strada Țepeș Vodă,residential,4.4
RUTA_A,11-13,2026-04-02 11:50:23,11:47,146,1.92,-0.247,135.6,914.0,2.446,2.4,0.5274,0.533,0,urban,Strada Țepeș Vodă,residential,3.7
RUTA_A,11-13,2026-04-02 11:50:24,11:47,147,0.79,-0.267,135.8,857.0,2.383,2.4,0.514,0.5194,1,urban,Strada Țepeș Vodă,residential,3.3
RUTA_A,11-13,2026-04-02 11:50:25,11:47,148,0.0,-0.11,135.8,814.0,2.345,2.4,0.5057,0.511,1,urban,Strada Țepeș Vodă,residential,3.0
RUTA_A,11-13,2026-04-02 11:50:26,11:47,149,0.0,0.0,135.8,805.0,2.361,2.4,0.5092,0.5146,1,urban,Strada Țepeș Vodă,residential,2.9
RUTA_A,11-13,2026-04-02 11:50:27,11:47,150,0.0,0.0,135.8,794.0,2.359,2.4,0.5087,0.5141,1,urban,Strada Țepeș Vodă,residential,2.8
RUTA_A,11-13,2026-04-02 11:50:28,11:47,151,0.0,0.0,135.8,780.0,2.336,2.4,0.5037,0.509,1,urban,Strada Țepeș Vodă,residential,2.8
RUTA_A,11-13,2026-04-02 11:50:29,11:47,152,0.0,0.0,135.8,782.0,2.39,2.4,0.5155,0.5209,1,urban,Strada Țepeș Vodă,residential,2.8
RUTA_A,11-13,2026-04-02 11:50:30,11:47,153,0.0,0.0,135.8,791.0,2.459,2.7,0.5302,0.5358,1,urban,Strada Țepeș Vodă,residential,2.8
